ordre;code;Titre;Matiere;Editeur;Edition;"Tarif neuf";Classe;occasion;neuf
1;9783125274402;OKNO;RUSSE;Klett;;10.00;"2de - 1ere - Term";1;1
1;9782701138213;"Physique Chimie 2de - Parisi";Physique-Chimie;BELIN;2004;27.50;2nde;1;1
11;9782904218231;Claridad;"ESPAGNOL LV2  LV3";MARTORANA;2004;17.00;"Toutes classes";1;1
12;9782011353214;"Bled Italien Carmelina Boi";"ITALIEN LV2";HACHETTE;2007;11.00;"Toutes classes";1;1
13;9782035837516;"Dictionnaire Russe Maxi-Poche – Pauliat";RUSSE;Hachette;2008;17.50;"Toutes classes";1;1
14;9782218745829;"littérature 2de : des textes aux séquences - (couverture verte) H. Sabbah";FRANCAIS;HATIER;2004;29.50;Seconde;1;1
15;9782218930881;"Le Français Méthodique   H.Sabbah";FRANCAIS;HATIER;2008;19.50;"Prem STG";1;1
16;9782091739120;"PROJEKT Deutsch NEU 2de (livre+CD) Claudine Decolqhan";"ALLEMAND LV.1 et LV.2";"NATHAN ";2006;22.80;Seconde;0;0
17;9782091756240;"BROAD WAYS 2nde (vert)  + livret actualisation 2004";"ANGLAIS LV1 et LV2";"NATHAN ";2004;21.90;Seconde;0;0
18;9782091756264;"BROAD WAYS 2nde (vert) 2001";"ANGLAIS LV1 et LV2";"NATHAN ";2001;21.90;Seconde;0;0
19;9782210103474;"Les hommes occupent et aménagent la terre -";GEOGRAPHIE;MAGNARD;2005;25.90;Seconde;0;0
