"ordre";"code";"Titre";"Matiere";"Editeur";"Edition";"Tarif neuf";"Classe";"occasion";"neuf"
14;9782904218231;"Claridad";"ESPAGNOL LV2  LV3";"MARTORANA";2004;"15.00";"Toutes classes";1;1
15;9782011353214;"Bled Italien Carmelina Boi";"ITALIEN LV2";"HACHETTE";2007;"10.95";"Toutes classes";1;1
16;9782035837516;"Russe Dictionnaire Pauliat (facultatif) (épuisé en Larousse)";"RUSSE";"Hachette";2008;"17.00";"Toutes classes";1;1
28;9782091794259;"Français Méthodes et Techniques  (couverture rouge) Poulzalgues-Damon";"FRANCAIS";"NATHAN";2005;"20.00";"Prem";1;1
29;9782749500942;"Histoire 1ère L.ES  (utilisé aussi pour les 1ères S)";"HISTOIRE";"BREAL";2003;"26.00";"Prem";1;1
30;9782210103535;"L Europe, La France - J.F. JOLY, J. JALTA";"GEOGRAPHIE";"MAGNARD";2007;"26.00";"Prem";1;1
31;9782218749872;"SCIENCES ECONOMIQUES ET SOCIALES 1i ère. Coordination : Joelle BAILS ";"SES";"HATIER";2005;"28.00";"Prem";1;1
32;9782047299005;"PROJEKT Deutsch NEU";"ALLD LV.1 etÂ  LV.2";"NATHAN";2007;"22.00";"Prem";1;1
33;9782278055456;"GOING PLACES 1ERE JL BORDRON J. BOURJAULT  S. DAGUENET S. WALTERS";"ANGLAIS LVI et LV2";"DIDIER";2004;"19.00";"Prem";1;1
34;9782278056187;"Modulo Maths 1ère ES - obligatoire";"MATHS ES";"DIDIER";2005;"26.00";"Prem";1;1
35;9782278056194;"Modulo Maths 1ère ES  obligatoire + option";"MATHS ES ";"DIDIER";2005;"31.00";"Prem";1;1
36;9782091724133;"Transmath Programme 2001";"MATHS S";"NATHAN ";2001;"37.00";"Prem";1;1
37;9782701140278;"PARISI   Physique 1ERE S";"PHYSIQUE S";"BELIN";2005;"27.00";"Prem";1;1
38;9782701140261;"PARISI   Chimie 1ERE S";"Chimie S";"BELIN";2005;"26.00";"Prem";1;1
39;9782047322307;"Enseignement Scientifique SVT-Physique-Chimie 1ere L";"Sciences L";"BORDAS";2007;"26.00";"Prem";1;1
40;9782047294147;"Science et Vie de la Terre Tavernier-Lizeaux";"SVT ES";"BORDAS";2001;"29.00";"Prem";1;1
41;9782218734229;"S.V.T.  Bergeron";"SVT S";"HATIER";2001;"31.00";"Prem";1;1
42;9782218930881;"Le Français Méthodique   H.Sabbah";"FRANCAIS";"HATIER";2008;"19.00";"Prem";1;1
43;9782210102156;"STG Histoire Geographie 1ere SOUTENET RIQUIER  MARQUIS";"HISTOIRE GEO STG";"MAGNARD";2006;"26.00";"Prem STG";1;1
44;9782735221417;"Les dossiers Economie 1ere STG Philippe Le Bolloch Yvon Le Fiblec";"ECONOMIE";"Bertrand LACOSTE";2009;"14.00";"Prem STG";1;1
45;9782735221431;"Les dossiers Droit 1ere STG Philippe Le Bolloch Yvon Le Fiblec";"DROIT";"Bertrand LACOSTE";2009;"14.00";"Prem STG";1;1
46;9782735221455;"Management des organisations - Les dossiers - 1ere STG   Le Bolloch 2009";"MANAG. ORGANISATIONS";"Bertrand LACOSTE";2009;"14.00";"Prem STG";1;1
47;9782011805447;"Information & Communication   spé. Gestion";"COMMUNICATION";"HACHETTE Technique";2008;"13.00";"Prem STG";1;1
48;9782011805423;"Information & Communication   spé. Comm.";"COMMUNICATION";"HACHETTE Technique";2008;"15.00";"Prem STG";1;1
49;9782091794563;"MATHEMATIQUES 1 STG Pgme 2005  A. Hugon";"MATHS";"NATHAN Technique";2005;"21.00";"Prem STG";1;1
